customer_id,age,gender,item_purchased,category,purchase_amount_usd,location,size,color,season,review_rating,subscription_status,payment_method,shipping_type,discount_applied,promo_code_used,previous_purchases,preferred_payment_method,frequency_of_purchases
26,45,Female,Jeans,Clothing,66.28,Illinois,L,Blue,Summer,4.9,No,Venmo,Express,Yes,No,9,Venmo,Quarterly
27,46,Female,T-Shirt,Clothing,20.26,Texas,M,Blue,Winter,3.3,Yes,Cash,Express,Yes,No,1,Cash,Bi-Weekly
28,18,Male,Sneakers,Footwear,90.24,Texas,L,White,Fall,3.6,No,Cash,Express,No,No,6,Venmo,Quarterly
29,48,Female,Blouse,Clothing,54.88,New York,S,Silver,Fall,3.9,Yes,Credit Card,Store Pickup,Yes,No,1,Venmo,Quarterly
30,20,Male,Sneakers,Footwear,87.64,Texas,L,White,Spring,3.7,No,Cash,Express,Yes,Yes,6,PayPal,Bi-Weekly
31,48,Female,Blouse,Clothing,46.74,California,M,White,Winter,4.3,No,Credit Card,Express,No,No,8,Cash,Bi-Weekly
32,21,Female,Blouse,Clothing,43.09,Illinois,M,Black,Spring,3.0,No,Cash,Store Pickup,No,Yes,6,PayPal,Monthly
33,30,Female,Watch,Accessories,113.2,Texas,L,Silver,Winter,3.6,No,Venmo,Standard,Yes,Yes,9,PayPal,Weekly
34,41,Male,Sneakers,Footwear,92.61,California,M,Black,Fall,4.8,Yes,PayPal,2-Day Shipping,No,No,10,Venmo,Weekly
35,59,Male,Watch,Accessories,123.15,Illinois,S,Black,Winter,3.5,Yes,Cash,Standard,Yes,No,10,Debit Card,Quarterly
36,28,Female,Watch,Accessories,136.07,Florida,L,White,Winter,3.8,Yes,Venmo,Free Shipping,Yes,No,5,PayPal,Weekly
37,44,Female,Jeans,Clothing,61.38,New York,L,Blue,Spring,3.9,Yes,Venmo,2-Day Shipping,Yes,No,10,Debit Card,Bi-Weekly
38,40,Male,T-Shirt,Clothing,23.81,New York,L,Blue,Summer,4.1,Yes,Cash,Free Shipping,Yes,Yes,8,Debit Card,Monthly
39,29,Male,Sneakers,Footwear,96.82,New York,S,Blue,Winter,3.3,No,PayPal,Express,No,No,8,Cash,Quarterly
40,37,Female,Sneakers,Footwear,91.54,California,L,Blue,Winter,4.0,No,PayPal,Free Shipping,No,No,0,Venmo,Bi-Weekly
41,60,Male,Blouse,Clothing,48.43,Illinois,L,Silver,Winter,3.8,Yes,Venmo,Express,No,Yes,3,Credit Card,Weekly
42,35,Male,Blouse,Clothing,45.8,Florida,L,Silver,Summer,3.6,No,Credit Card,Free Shipping,No,No,2,Venmo,Monthly
43,49,Female,Blouse,Clothing,47.82,Texas,S,Blue,Spring,3.7,Yes,Venmo,Store Pickup,No,Yes,2,PayPal,Monthly
44,54,Male,T-Shirt,Clothing,31.39,California,M,White,Summer,4.2,No,Credit Card,Free Shipping,Yes,No,3,Venmo,Quarterly
45,43,Female,Sneakers,Footwear,91.77,Texas,S,Blue,Winter,4.7,No,PayPal,Free Shipping,Yes,Yes,4,Debit Card,Weekly
46,55,Male,Sneakers,Footwear,89.94,Florida,S,Silver,Spring,4.3,Yes,Credit Card,Express,No,Yes,7,Venmo,Weekly
47,41,Male,T-Shirt,Clothing,22.6,Illinois,M,Silver,Spring,4.0,Yes,PayPal,Store Pickup,No,Yes,7,Credit Card,Monthly
48,51,Male,Watch,Accessories,127.9,California,M,White,Winter,4.7,Yes,Debit Card,Store Pickup,No,Yes,8,Debit Card,Monthly
49,27,Male,T-Shirt,Clothing,30.97,New York,L,Silver,Summer,4.9,Yes,Debit Card,2-Day Shipping,No,Yes,7,Debit Card,Bi-Weekly
50,59,Female,Jeans,Clothing,56.47,California,L,Black,Fall,4.7,Yes,Debit Card,Standard,Yes,No,7,Credit Card,Weekly
51,35,Male,Jeans,Clothing,68.52,Illinois,M,Blue,Fall,3.2,Yes,Cash,2-Day Shipping,No,No,0,Debit Card,Monthly
52,45,Male,Sneakers,Footwear,97.19,Illinois,S,Blue,Winter,3.5,Yes,PayPal,Store Pickup,No,Yes,1,Venmo,Quarterly
53,41,Male,T-Shirt,Clothing,27.99,New York,M,White,Summer,4.1,Yes,Venmo,Store Pickup,Yes,No,4,PayPal,Weekly
54,59,Male,Watch,Accessories,122.63,California,S,Black,Fall,4.8,Yes,Venmo,Standard,No,No,6,Credit Card,Weekly
55,41,Female,Jeans,Clothing,58.43,California,L,Black,Summer,4.8,No,PayPal,Express,Yes,Yes,7,Venmo,Weekly
56,45,Female,Jeans,Clothing,58.82,California,S,Blue,Spring,4.2,No,Credit Card,Free Shipping,No,Yes,1,Credit Card,Quarterly
57,34,Female,Watch,Accessories,118.16,Texas,L,Blue,Fall,3.4,No,PayPal,2-Day Shipping,Yes,Yes,8,Credit Card,Bi-Weekly
58,48,Male,Blouse,Clothing,45.78,Florida,M,Silver,Spring,4.7,No,Debit Card,2-Day Shipping,No,No,1,Credit Card,Weekly
59,31,Male,Watch,Accessories,102.62,Florida,L,Blue,Summer,4.2,Yes,PayPal,Express,No,No,6,Cash,Quarterly
60,18,Male,Watch,Accessories,104.87,Texas,M,Silver,Fall,5.0,Yes,Credit Card,Express,Yes,No,3,Debit Card,Bi-Weekly
61,50,Male,Sneakers,Footwear,90.62,New York,S,White,Spring,3.4,No,Cash,2-Day Shipping,Yes,No,5,Credit Card,Weekly
62,45,Male,Sneakers,Footwear,91.84,Texas,M,Black,Winter,4.7,No,Credit Card,Standard,Yes,Yes,2,Debit Card,Quarterly
63,53,Female,T-Shirt,Clothing,21.85,New York,S,White,Fall,4.4,No,Venmo,Standard,No,Yes,4,PayPal,Quarterly
64,23,Female,Sneakers,Footwear,82.14,Illinois,M,Black,Summer,3.9,No,Debit Card,Express,Yes,No,0,Cash,Monthly
65,27,Female,Blouse,Clothing,45.23,Texas,M,Blue,Fall,3.5,No,PayPal,Free Shipping,Yes,No,3,Credit Card,Quarterly
66,21,Male,Sneakers,Footwear,84.18,California,S,Blue,Summer,4.1,Yes,PayPal,2-Day Shipping,Yes,Yes,10,Cash,Bi-Weekly
67,26,Male,Watch,Accessories,129.41,Florida,M,Black,Winter,3.2,Yes,Venmo,2-Day Shipping,No,Yes,8,Venmo,Bi-Weekly
68,21,Female,Sneakers,Footwear,83.23,California,S,White,Fall,4.8,Yes,PayPal,2-Day Shipping,Yes,Yes,7,Credit Card,Bi-Weekly
69,55,Female,Sneakers,Footwear,89.55,Florida,L,Silver,Summer,3.8,No,Debit Card,Free Shipping,No,Yes,6,Debit Card,Quarterly
70,35,Female,Blouse,Clothing,44.11,Texas,M,Black,Spring,3.2,Yes,PayPal,Store Pickup,Yes,Yes,7,Cash,Weekly
71,56,Female,Blouse,Clothing,40.03,Florida,M,Black,Winter,3.9,No,Credit Card,Store Pickup,Yes,Yes,9,Debit Card,Quarterly
72,43,Female,Jeans,Clothing,50.76,California,S,White,Winter,4.0,No,PayPal,Store Pickup,No,No,5,Debit Card,Monthly
73,55,Male,Blouse,Clothing,52.8,Illinois,S,White,Spring,3.2,Yes,Venmo,Express,No,Yes,5,Venmo,Quarterly
74,21,Female,Blouse,Clothing,48.78,Texas,L,White,Fall,4.8,Yes,PayPal,Store Pickup,Yes,No,4,Credit Card,Weekly
75,44,Male,Blouse,Clothing,54.17,California,S,Black,Spring,4.3,Yes,Cash,Express,No,No,2,Debit Card,Monthly
76,52,Male,Sneakers,Footwear,94.2,New York,L,Silver,Summer,3.6,No,Venmo,2-Day Shipping,No,Yes,1,Credit Card,Bi-Weekly
77,52,Male,T-Shirt,Clothing,33.74,Florida,S,Blue,Summer,4.1,No,Venmo,Free Shipping,Yes,No,7,Credit Card,Monthly
78,51,Female,Blouse,Clothing,52.45,Florida,S,Silver,Winter,4.4,Yes,Credit Card,Standard,No,Yes,3,Credit Card,Monthly
79,18,Male,Jeans,Clothing,54.23,Illinois,L,White,Spring,4.9,Yes,PayPal,Standard,No,No,7,Debit Card,Monthly
80,43,Male,Sneakers,Footwear,80.54,Texas,L,Silver,Winter,4.3,No,PayPal,Standard,Yes,No,3,Cash,Weekly
81,55,Female,Jeans,Clothing,50.55,Texas,L,Silver,Summer,4.8,No,PayPal,Standard,Yes,No,3,Venmo,Quarterly
82,41,Female,Jeans,Clothing,55.63,California,S,Silver,Winter,4.6,Yes,Venmo,Express,Yes,Yes,9,Debit Card,Quarterly
83,23,Female,T-Shirt,Clothing,32.6,Florida,M,White,Summer,5.0,Yes,Cash,Express,No,No,2,Cash,Quarterly
84,18,Male,Blouse,Clothing,45.02,New York,S,Silver,Winter,4.8,Yes,Debit Card,2-Day Shipping,No,Yes,7,Venmo,Quarterly
85,31,Female,Jeans,Clothing,66.18,Texas,L,Black,Fall,3.7,Yes,Debit Card,Store Pickup,Yes,Yes,0,Venmo,Quarterly
86,45,Male,Jeans,Clothing,67.96,Texas,L,White,Summer,3.5,Yes,Venmo,2-Day Shipping,No,No,8,Credit Card,Monthly
87,22,Female,Jeans,Clothing,54.39,Texas,L,White,Summer,3.9,No,PayPal,Free Shipping,Yes,Yes,4,Credit Card,Quarterly
88,39,Male,Blouse,Clothing,53.53,California,M,Silver,Spring,3.9,Yes,Debit Card,Standard,No,Yes,0,PayPal,Weekly
89,58,Female,Blouse,Clothing,48.29,New York,M,Blue,Spring,3.7,No,PayPal,Free Shipping,No,Yes,4,Venmo,Monthly
90,38,Female,Blouse,Clothing,49.81,New York,M,Black,Fall,4.5,No,Debit Card,Store Pickup,No,Yes,4,Credit Card,Weekly
91,58,Male,Blouse,Clothing,47.87,Florida,M,Blue,Winter,4.1,No,Cash,2-Day Shipping,Yes,No,8,PayPal,Monthly
92,40,Female,Blouse,Clothing,50.1,Florida,S,Silver,Summer,4.6,Yes,PayPal,Store Pickup,No,No,1,PayPal,Weekly
93,27,Female,Watch,Accessories,137.8,California,M,Blue,Summer,3.4,Yes,Venmo,Standard,No,No,7,Venmo,Weekly
94,36,Male,T-Shirt,Clothing,30.89,New York,L,Silver,Winter,3.4,Yes,Venmo,Standard,Yes,Yes,6,Debit Card,Bi-Weekly
95,48,Male,Blouse,Clothing,48.72,Florida,S,Silver,Spring,4.5,No,Venmo,2-Day Shipping,No,Yes,10,PayPal,Monthly
96,19,Female,Watch,Accessories,115.32,Illinois,M,Black,Summer,3.6,Yes,Venmo,Standard,Yes,No,1,Cash,Quarterly
97,51,Female,Jeans,Clothing,61.62,Texas,S,Black,Spring,4.4,No,Cash,Free Shipping,No,No,1,PayPal,Weekly
98,55,Male,Blouse,Clothing,50.81,Texas,S,White,Winter,3.2,Yes,Credit Card,Free Shipping,Yes,Yes,4,PayPal,Quarterly
99,33,Male,Blouse,Clothing,45.39,Illinois,M,Blue,Fall,3.4,No,Cash,Store Pickup,Yes,Yes,8,Venmo,Monthly
100,36,Male,Jeans,Clothing,50.52,Florida,M,Silver,Winter,4.4,No,Debit Card,Express,Yes,No,7,PayPal,Quarterly
101,29,Male,Sneakers,Footwear,96.18,Illinois,L,Silver,Winter,3.0,Yes,PayPal,Standard,Yes,No,9,Credit Card,Bi-Weekly
102,50,Female,Blouse,Clothing,47.04,New York,L,Blue,Spring,4.1,No,Venmo,2-Day Shipping,Yes,No,3,Debit Card,Quarterly
103,28,Male,Sneakers,Footwear,91.42,Texas,S,Silver,Fall,3.1,Yes,Credit Card,Store Pickup,No,No,3,Debit Card,Bi-Weekly
104,30,Male,Watch,Accessories,130.46,New York,S,Silver,Fall,4.2,Yes,Venmo,Store Pickup,Yes,No,10,Venmo,Monthly
105,23,Female,Blouse,Clothing,48.35,California,M,Silver,Spring,4.2,Yes,PayPal,2-Day Shipping,Yes,No,6,Credit Card,Monthly
106,54,Male,Watch,Accessories,123.78,California,L,White,Summer,3.2,No,Credit Card,Standard,Yes,Yes,3,Debit Card,Quarterly
107,45,Male,Jeans,Clothing,69.1,Illinois,L,Silver,Summer,3.6,No,Cash,Express,Yes,Yes,1,Debit Card,Quarterly
108,52,Female,Jeans,Clothing,52.92,Florida,S,Blue,Winter,3.4,No,Credit Card,Free Shipping,Yes,Yes,5,Cash,Bi-Weekly
109,56,Female,Blouse,Clothing,41.93,Illinois,M,Silver,Fall,3.6,No,Venmo,2-Day Shipping,No,Yes,8,Venmo,Monthly
110,50,Male,T-Shirt,Clothing,27.44,Florida,S,White,Fall,4.4,Yes,Cash,2-Day Shipping,No,No,4,Debit Card,Weekly
111,22,Female,Jeans,Clothing,54.77,Florida,L,Silver,Spring,4.4,Yes,Debit Card,Store Pickup,Yes,No,7,PayPal,Monthly
112,44,Male,Jeans,Clothing,54.76,Florida,S,Black,Summer,4.6,No,PayPal,Express,No,No,2,Cash,Quarterly
113,42,Female,Blouse,Clothing,48.1,Texas,L,Silver,Spring,5.0,No,Debit Card,Free Shipping,Yes,No,4,Cash,Bi-Weekly
114,52,Male,Blouse,Clothing,51.8,New York,S,Blue,Spring,3.6,No,Cash,2-Day Shipping,Yes,Yes,7,Debit Card,Quarterly
115,40,Male,Sneakers,Footwear,81.86,California,L,White,Fall,4.0,No,Debit Card,Standard,No,No,9,Debit Card,Weekly
116,46,Female,Watch,Accessories,103.79,Illinois,M,Black,Winter,4.0,Yes,PayPal,Standard,Yes,No,3,Venmo,Bi-Weekly
117,53,Female,Jeans,Clothing,55.62,Illinois,M,White,Winter,3.6,No,Cash,Free Shipping,Yes,Yes,0,Credit Card,Quarterly
118,56,Female,Watch,Accessories,118.45,Illinois,M,White,Summer,3.5,No,Cash,Free Shipping,No,Yes,4,Credit Card,Quarterly
119,32,Male,Watch,Accessories,106.56,Illinois,M,Blue,Summer,4.3,No,Venmo,Express,No,Yes,4,Cash,Quarterly
120,60,Female,T-Shirt,Clothing,28.05,Florida,L,White,Spring,4.0,No,PayPal,Store Pickup,No,No,0,PayPal,Weekly
121,40,Male,Blouse,Clothing,51.85,New York,L,Silver,Winter,3.2,No,Credit Card,Standard,Yes,No,0,Venmo,Weekly
122,22,Female,T-Shirt,Clothing,25.62,Illinois,S,Black,Winter,3.6,No,Debit Card,Express,Yes,Yes,1,Credit Card,Bi-Weekly
123,50,Male,Sneakers,Footwear,81.2,California,S,Black,Summer,4.2,No,PayPal,Store Pickup,No,No,2,Venmo,Quarterly
124,30,Male,Sneakers,Footwear,90.77,Texas,S,Blue,Spring,3.3,Yes,Debit Card,Express,Yes,No,5,Cash,Quarterly
125,45,Female,Jeans,Clothing,55.72,Florida,M,Blue,Fall,4.7,Yes,Venmo,Store Pickup,Yes,Yes,4,Cash,Weekly
126,46,Female,Blouse,Clothing,42.48,Florida,S,Black,Summer,5.0,Yes,Venmo,Standard,No,No,9,Credit Card,Quarterly
127,19,Female,Watch,Accessories,101.37,New York,M,White,Summer,3.7,No,Credit Card,Store Pickup,Yes,Yes,9,PayPal,Bi-Weekly
128,26,Male,Sneakers,Footwear,85.01,Florida,M,Silver,Summer,3.4,Yes,Debit Card,Store Pickup,No,No,10,PayPal,Weekly
129,44,Male,Watch,Accessories,132.49,Illinois,M,White,Fall,3.7,Yes,Venmo,Store Pickup,No,No,9,Credit Card,Weekly
130,26,Female,Jeans,Clothing,69.06,Florida,M,Black,Spring,4.9,No,PayPal,Free Shipping,Yes,Yes,8,Credit Card,Quarterly
131,31,Female,Jeans,Clothing,63.54,California,L,White,Summer,4.5,Yes,Venmo,Express,No,No,1,Venmo,Monthly
132,57,Male,Blouse,Clothing,41.6,Texas,M,Silver,Fall,4.8,No,Cash,2-Day Shipping,No,No,8,PayPal,Weekly
133,56,Female,Watch,Accessories,129.54,Texas,M,White,Summer,3.2,No,PayPal,Store Pickup,Yes,Yes,1,Venmo,Quarterly
134,35,Female,Watch,Accessories,127.93,New York,L,Black,Spring,4.3,Yes,Debit Card,2-Day Shipping,Yes,No,8,PayPal,Weekly
135,43,Female,Blouse,Clothing,49.22,Florida,L,Blue,Spring,3.1,Yes,Cash,Express,Yes,Yes,8,PayPal,Bi-Weekly
136,41,Female,Watch,Accessories,108.18,New York,L,Silver,Fall,4.7,Yes,PayPal,Express,No,No,3,Venmo,Bi-Weekly
137,30,Female,T-Shirt,Clothing,29.21,Illinois,L,Black,Fall,4.6,Yes,Cash,Store Pickup,No,No,9,Cash,Bi-Weekly
138,26,Female,T-Shirt,Clothing,30.51,Illinois,M,Black,Winter,3.9,Yes,Cash,Express,No,No,8,Credit Card,Monthly
139,30,Male,Jeans,Clothing,56.75,New York,L,Black,Spring,3.2,No,Venmo,Store Pickup,Yes,Yes,2,Cash,Monthly
140,18,Male,T-Shirt,Clothing,24.86,Texas,L,White,Summer,4.5,Yes,Credit Card,Store Pickup,No,Yes,6,Cash,Bi-Weekly
141,31,Female,T-Shirt,Clothing,33.91,New York,M,Silver,Fall,3.2,Yes,Venmo,Store Pickup,No,Yes,7,Venmo,Weekly
142,44,Female,T-Shirt,Clothing,30.72,California,S,Black,Winter,4.3,Yes,Cash,2-Day Shipping,No,No,9,Credit Card,Bi-Weekly
143,55,Female,Jeans,Clothing,64.2,California,L,White,Summer,3.7,Yes,Venmo,2-Day Shipping,Yes,Yes,3,PayPal,Weekly
144,40,Female,T-Shirt,Clothing,28.01,New York,M,Black,Summer,3.2,Yes,Credit Card,2-Day Shipping,Yes,No,10,PayPal,Weekly
145,41,Male,Sneakers,Footwear,99.73,California,L,Blue,Spring,3.6,No,Credit Card,Store Pickup,Yes,No,10,Venmo,Weekly
146,33,Male,Jeans,Clothing,65.23,Texas,M,Silver,Winter,3.6,No,Debit Card,2-Day Shipping,No,No,7,Credit Card,Bi-Weekly
147,49,Male,Watch,Accessories,123.49,California,L,White,Summer,3.4,Yes,PayPal,2-Day Shipping,Yes,Yes,8,Credit Card,Monthly
148,40,Male,Blouse,Clothing,44.08,California,M,Silver,Winter,3.5,Yes,PayPal,Standard,Yes,Yes,2,Debit Card,Bi-Weekly
149,48,Male,Jeans,Clothing,61.97,California,L,Blue,Winter,3.2,No,Venmo,Store Pickup,No,Yes,10,Debit Card,Monthly
150,55,Female,Watch,Accessories,119.65,Florida,M,Blue,Winter,3.5,Yes,Credit Card,Standard,No,No,3,Credit Card,Bi-Weekly
151,57,Female,Blouse,Clothing,46.85,New York,S,Silver,Summer,5.0,Yes,PayPal,Standard,Yes,No,9,Cash,Quarterly
152,28,Male,T-Shirt,Clothing,31.57,Texas,M,Silver,Summer,4.5,No,Venmo,Store Pickup,Yes,No,4,Cash,Monthly
153,24,Female,Blouse,Clothing,44.44,Texas,L,Blue,Winter,4.8,Yes,Credit Card,Store Pickup,Yes,No,7,Debit Card,Bi-Weekly
154,28,Female,Watch,Accessories,122.81,Florida,L,Blue,Spring,3.6,No,Debit Card,Store Pickup,No,No,3,Credit Card,Bi-Weekly
155,38,Male,T-Shirt,Clothing,32.72,Texas,L,Silver,Fall,4.5,Yes,Credit Card,Store Pickup,No,Yes,10,PayPal,Quarterly
156,21,Male,Watch,Accessories,138.88,Florida,L,Black,Fall,4.1,No,Credit Card,Store Pickup,Yes,Yes,4,Venmo,Bi-Weekly
157,51,Male,Sneakers,Footwear,86.6,New York,L,Blue,Summer,3.2,No,Debit Card,Express,Yes,Yes,9,Debit Card,Quarterly
158,23,Male,Jeans,Clothing,50.67,Texas,L,White,Spring,4.8,No,PayPal,Free Shipping,No,Yes,4,Credit Card,Bi-Weekly
159,51,Male,Sneakers,Footwear,87.68,Texas,L,Silver,Winter,5.0,No,Venmo,Store Pickup,Yes,Yes,9,PayPal,Bi-Weekly
160,26,Male,Watch,Accessories,136.04,Texas,M,White,Fall,3.8,Yes,Debit Card,Free Shipping,No,No,1,Cash,Monthly
161,31,Female,Jeans,Clothing,57.21,California,L,White,Summer,3.4,Yes,Debit Card,Standard,No,Yes,2,Credit Card,Bi-Weekly
162,55,Male,Blouse,Clothing,53.42,Florida,M,Blue,Spring,3.8,Yes,Cash,Express,No,Yes,10,Debit Card,Bi-Weekly
163,53,Female,Jeans,Clothing,68.34,Illinois,L,Black,Summer,4.1,No,Venmo,Free Shipping,No,No,3,Venmo,Quarterly
164,60,Male,Watch,Accessories,109.03,Texas,M,White,Summer,3.5,No,Debit Card,Express,Yes,No,2,Credit Card,Monthly
165,58,Male,Sneakers,Footwear,80.33,Florida,S,Blue,Summer,4.8,Yes,Debit Card,Express,Yes,No,10,Debit Card,Bi-Weekly
166,33,Female,T-Shirt,Clothing,33.43,Florida,S,White,Summer,4.1,No,Credit Card,2-Day Shipping,Yes,Yes,7,Debit Card,Weekly
167,45,Male,Jeans,Clothing,68.06,California,L,Silver,Summer,3.9,No,PayPal,Store Pickup,No,No,2,Credit Card,Bi-Weekly
168,55,Female,Jeans,Clothing,62.11,California,M,Black,Winter,4.0,No,Venmo,2-Day Shipping,No,Yes,4,Debit Card,Weekly
169,54,Female,Blouse,Clothing,43.57,New York,M,Black,Winter,4.0,No,Cash,Free Shipping,No,Yes,2,Venmo,Monthly
170,25,Male,Jeans,Clothing,58.16,Florida,L,Black,Fall,3.7,Yes,Credit Card,2-Day Shipping,No,Yes,9,Cash,Bi-Weekly
171,44,Male,Blouse,Clothing,51.31,Illinois,S,Black,Summer,3.3,Yes,Cash,Store Pickup,Yes,No,7,Cash,Bi-Weekly
172,37,Female,Watch,Accessories,134.52,Illinois,M,Blue,Winter,4.1,Yes,Cash,Store Pickup,No,No,9,Venmo,Quarterly
173,22,Male,Jeans,Clothing,52.62,New York,M,White,Spring,4.0,Yes,Venmo,Standard,Yes,No,5,Credit Card,Monthly
174,24,Male,Sneakers,Footwear,97.47,Illinois,M,Black,Fall,4.5,No,Credit Card,2-Day Shipping,No,Yes,1,Debit Card,Bi-Weekly
175,43,Male,Watch,Accessories,127.74,Texas,S,Blue,Summer,3.5,No,PayPal,Express,No,No,1,Cash,Quarterly
176,40,Female,Watch,Accessories,122.91,Texas,L,White,Summer,4.7,No,Cash,Standard,No,No,10,Credit Card,Weekly
177,48,Male,T-Shirt,Clothing,21.33,New York,S,Silver,Spring,3.4,Yes,Credit Card,Store Pickup,No,Yes,4,PayPal,Bi-Weekly
178,18,Female,Jeans,Clothing,57.37,Florida,S,Blue,Winter,4.8,Yes,Venmo,Free Shipping,Yes,Yes,5,Credit Card,Weekly
179,40,Male,Jeans,Clothing,59.25,Illinois,M,Blue,Spring,3.1,Yes,Venmo,Store Pickup,No,No,10,PayPal,Monthly
180,34,Male,Jeans,Clothing,54.16,Illinois,S,Silver,Spring,3.6,Yes,Debit Card,Standard,Yes,Yes,1,Cash,Quarterly
181,25,Female,Blouse,Clothing,46.18,California,L,Silver,Summer,3.5,No,Cash,Free Shipping,No,Yes,4,PayPal,Bi-Weekly
182,39,Male,Jeans,Clothing,64.56,California,L,Blue,Spring,3.9,No,PayPal,2-Day Shipping,No,Yes,5,Debit Card,Weekly
183,30,Male,Jeans,Clothing,55.2,New York,S,Blue,Summer,4.5,Yes,Credit Card,2-Day Shipping,No,Yes,4,Cash,Weekly
184,38,Female,T-Shirt,Clothing,24.66,California,M,White,Spring,4.9,No,Venmo,Store Pickup,No,Yes,0,Venmo,Weekly
185,19,Male,Sneakers,Footwear,91.22,Florida,S,Silver,Fall,3.2,No,Credit Card,2-Day Shipping,Yes,Yes,8,Cash,Quarterly
186,53,Female,Watch,Accessories,131.28,New York,L,White,Spring,4.0,No,Venmo,Free Shipping,Yes,No,4,PayPal,Bi-Weekly
187,36,Male,Blouse,Clothing,43.89,Texas,M,White,Winter,4.2,Yes,Debit Card,Store Pickup,Yes,No,7,PayPal,Monthly
188,27,Male,Jeans,Clothing,50.2,Illinois,M,White,Spring,4.5,Yes,Venmo,2-Day Shipping,Yes,No,0,Venmo,Monthly
189,22,Male,Sneakers,Footwear,91.25,Florida,M,Black,Spring,3.8,No,Cash,Standard,No,Yes,1,Credit Card,Bi-Weekly
190,58,Male,T-Shirt,Clothing,27.98,New York,S,Silver,Winter,3.2,Yes,Venmo,Store Pickup,No,No,4,PayPal,Quarterly
191,20,Female,Watch,Accessories,106.02,Texas,S,Blue,Spring,3.4,Yes,Debit Card,Standard,Yes,Yes,8,PayPal,Quarterly
